"id","obs_day","daily_L_m","daily_steps","date","trt","parity","cow_calf","percent_near","F_min_hourly","voc_yes","voc_perc_yes"
"750","BL",781.85,1879.66666666667,2022-08-20,"6_mo","4","cow",50,NA,NA,NA
"750","1",678.283333333333,5901,2022-08-25,"6_mo","4","cow",50,NA,NA,NA
"750","2",814.25,3240,2022-08-26,"6_mo","4","cow",50,NA,NA,NA
"750","3",775.916666666667,2316,2022-08-27,"6_mo","4","cow",50,NA,NA,NA
"750","4",763.716666666667,1630,2022-08-28,"6_mo","4","cow",50,NA,NA,NA
"750","5",835.983333333333,1401,2022-08-29,"6_mo","4","cow",50,NA,NA,NA
"750","6",817.016666666667,947,2022-08-30,"6_mo","4","cow",50,NA,NA,NA
"750","8",758.016666666667,2039,2022-09-01,"6_mo","4","cow",50,NA,NA,NA
"750","9",805,1227,2022-09-02,"6_mo","4","cow",50,NA,NA,NA
"750","10",844.133333333333,1300,2022-09-03,"6_mo","4","cow",50,NA,NA,NA
"750","11",797.366666666667,1883,2022-09-04,"6_mo","4","cow",50,NA,NA,NA
"803","BL",704.791666666667,2039.16666666667,2022-08-20,"6_mo","4","cow",33.8129496402878,NA,NA,NA
"803","1",513.35,5264,2022-08-25,"6_mo","4","cow",33.8129496402878,NA,NA,NA
"803","2",641.55,2462,2022-08-26,"6_mo","4","cow",33.8129496402878,NA,NA,NA
"803","4",314.4,3672,2022-08-28,"6_mo","4","cow",33.8129496402878,NA,NA,NA
"803","5",906.8,1621,2022-08-29,"6_mo","4","cow",33.8129496402878,NA,NA,NA
"803","8",691.783333333333,1774,2022-09-01,"6_mo","4","cow",33.8129496402878,NA,NA,NA
"803","10",879.233333333333,1302,2022-09-03,"6_mo","4","cow",33.8129496402878,NA,NA,NA
"803","11",620.566666666667,1881,2022-09-04,"6_mo","4","cow",33.8129496402878,NA,NA,NA
"805","BL",772.356666666667,2641.6,2022-06-23,"4_mo","4","cow",35,NA,NA,NA
"805","1",688.9,2944,2022-06-28,"4_mo","4","cow",35,NA,NA,NA
"805","2",806.866666666667,2174,2022-06-29,"4_mo","4","cow",35,NA,NA,NA
"805","3",714.066666666667,3134,2022-06-30,"4_mo","4","cow",35,NA,NA,NA
"805","5",836.683333333333,1952,2022-07-02,"4_mo","4","cow",35,NA,NA,NA
"805","7",825.2,2304,2022-07-04,"4_mo","4","cow",35,NA,NA,NA
"805","9",806.466666666667,2362,2022-07-06,"4_mo","4","cow",35,NA,NA,NA
"805","11",815.283333333333,3043,2022-07-08,"4_mo","4","cow",35,NA,NA,NA
"825","BL",601.756666666667,1838,2022-06-23,"4_mo","4","cow",65.4676258992806,NA,NA,NA
"825","1",581.283333333333,3380,2022-06-28,"4_mo","4","cow",65.4676258992806,NA,NA,NA
"825","2",695.3,1783,2022-06-29,"4_mo","4","cow",65.4676258992806,NA,NA,NA
"825","3",581.833333333333,2131,2022-06-30,"4_mo","4","cow",65.4676258992806,NA,NA,NA
"825","5",535.416666666667,1647,2022-07-02,"4_mo","4","cow",65.4676258992806,NA,NA,NA
"825","6",650.4,2745,2022-07-03,"4_mo","4","cow",65.4676258992806,NA,NA,NA
"825","7",650.316666666667,3422,2022-07-04,"4_mo","4","cow",65.4676258992806,NA,NA,NA
"825","8",770.583333333333,2266,2022-07-05,"4_mo","4","cow",65.4676258992806,NA,NA,NA
"825","9",580.933333333333,4613,2022-07-06,"4_mo","4","cow",65.4676258992806,NA,NA,NA
"928","BL",656.093333333333,1486.6,2022-06-23,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"928","1",554.533333333333,2364,2022-06-28,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"928","2",694.266666666667,1425,2022-06-29,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"928","3",518.983333333333,1162,2022-06-30,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"928","5",717.583333333333,1225,2022-07-02,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"928","6",867.616666666667,1163,2022-07-03,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"928","7",683.083333333333,1508,2022-07-04,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"928","8",800.266666666667,1282,2022-07-05,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"928","9",803.6,1563,2022-07-06,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"928","11",783.766666666667,1356,2022-07-08,"4_mo","3","cow",38.5714285714286,NA,NA,NA
"2019","BL",817.35,1245.75,2022-06-23,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2019","1",462.733333333333,5990,2022-06-28,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2019","2",830.533333333333,1821,2022-06-29,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2019","3",695.85,2591,2022-06-30,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2019","5",859.733333333333,1159,2022-07-02,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2019","6",1011.66666666667,1458,2022-07-03,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2019","7",915.3,1567,2022-07-04,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2019","8",967.033333333333,1063,2022-07-05,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2019","9",924.116666666667,1229,2022-07-06,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2019","11",728.716666666667,1664,2022-07-08,"4_mo","3","cow",21.5827338129496,NA,NA,NA
"2045","BL",584.703333333333,1403.8,2022-06-23,"4_mo","3","cow",27.34375,NA,NA,NA
"2045","1",304.9,6098,2022-06-28,"4_mo","3","cow",27.34375,NA,NA,NA
"2045","2",618.116666666667,2279,2022-06-29,"4_mo","3","cow",27.34375,NA,NA,NA
"2045","3",548.55,1268,2022-06-30,"4_mo","3","cow",27.34375,NA,NA,NA
"2045","6",702.633333333333,1425,2022-07-03,"4_mo","3","cow",27.34375,NA,NA,NA
"2045","7",642.266666666667,2160,2022-07-04,"4_mo","3","cow",27.34375,NA,NA,NA
"2045","8",783.383333333333,1166,2022-07-05,"4_mo","3","cow",27.34375,NA,NA,NA
"2045","9",758.866666666667,1654,2022-07-06,"4_mo","3","cow",27.34375,NA,NA,NA
"2045","11",716.516666666667,1990,2022-07-08,"4_mo","3","cow",27.34375,NA,NA,NA
"2183","BL",667.073333333333,2298.8,2022-08-20,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","1",531.15,8735,2022-08-25,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","2",891.6,4191,2022-08-26,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","3",746.583333333333,2847,2022-08-27,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","4",783.183333333333,2262,2022-08-28,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","5",1031.51666666667,2005,2022-08-29,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","6",890.416666666667,1029,2022-08-30,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","8",785.85,1422,2022-09-01,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","9",710.1,1645,2022-09-02,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","10",858.55,1207,2022-09-03,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2183","11",732.5,1469,2022-09-04,"6_mo","2","cow",45.985401459854,NA,NA,NA
"2198","BL",718.983333333333,2279.33333333333,2022-08-20,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","1",602.55,6205,2022-08-25,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","2",888.55,2488,2022-08-26,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","3",779.766666666667,2091,2022-08-27,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","4",605.3,2836,2022-08-28,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","5",793.283333333333,1817,2022-08-29,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","6",663.7,2670,2022-08-30,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","8",847.15,1327,2022-09-01,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","9",730.983333333333,1402,2022-09-02,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","10",908.383333333333,927,2022-09-03,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2198","11",840.266666666667,1329,2022-09-04,"6_mo","2","cow",58.9928057553957,NA,NA,NA
"2200","BL",730.876666666667,2087.8,2022-06-23,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2200","1",544.383333333333,7197,2022-06-28,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2200","2",863.15,2144,2022-06-29,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2200","3",697.233333333333,1272,2022-06-30,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2200","5",812.416666666667,2154,2022-07-02,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2200","6",779.45,1563,2022-07-03,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2200","7",583.633333333333,2127,2022-07-04,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2200","8",785.15,1221,2022-07-05,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2200","9",802.566666666667,1463,2022-07-06,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2200","11",706.683333333333,1660,2022-07-08,"4_mo","2","cow",20.4545454545455,NA,NA,NA
"2202","BL",635.336666666667,2230.2,2022-08-20,"6_mo","2","cow",33.8028169014085,NA,NA,NA
"2202","1",387.883333333333,6559,2022-08-25,"6_mo","2","cow",33.8028169014085,NA,NA,NA
"2202","2",775.85,3287,2022-08-26,"6_mo","2","cow",33.8028169014085,NA,NA,NA
"2202","4",528.283333333333,1686,2022-08-28,"6_mo","2","cow",33.8028169014085,NA,NA,NA
"2202","5",718.716666666667,1242,2022-08-29,"6_mo","2","cow",33.8028169014085,NA,NA,NA
"2202","8",663.333333333333,1181,2022-09-01,"6_mo","2","cow",33.8028169014085,NA,NA,NA
"2202","9",670.133333333333,1923,2022-09-02,"6_mo","2","cow",33.8028169014085,NA,NA,NA
"2202","10",714.233333333333,1597,2022-09-03,"6_mo","2","cow",33.8028169014085,NA,NA,NA
"2202","11",723.1,1551,2022-09-04,"6_mo","2","cow",33.8028169014085,NA,NA,NA
"2210","BL",607.886111111111,2403,2022-08-20,"6_mo","2","cow",39.7163120567376,NA,NA,NA
"2210","1",485.966666666667,5382,2022-08-25,"6_mo","2","cow",39.7163120567376,NA,NA,NA
"2210","2",540.65,3561,2022-08-26,"6_mo","2","cow",39.7163120567376,NA,NA,NA
"2210","3",556.316666666667,2727,2022-08-27,"6_mo","2","cow",39.7163120567376,NA,NA,NA
"2210","4",688.433333333333,1968,2022-08-28,"6_mo","2","cow",39.7163120567376,NA,NA,NA
"2210","5",727.333333333333,1755,2022-08-29,"6_mo","2","cow",39.7163120567376,NA,NA,NA
"2210","6",641.05,1853,2022-08-30,"6_mo","2","cow",39.7163120567376,NA,NA,NA
"2210","8",721.466666666667,1857,2022-09-01,"6_mo","2","cow",39.7163120567376,NA,NA,NA
"2210","9",834.916666666667,1694,2022-09-02,"6_mo","2","cow",39.7163120567376,NA,NA,NA
"2210","10",702.983333333333,2172,2022-09-03,"6_mo","2","cow",39.7163120567376,NA,NA,NA
